2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
2000/01/01 00:00:00, Event:Access, Door:1, Card No.:,
